Price,Beds,Baths,Price_per_sqft,Type,Yr_Built,Zipcode,City,Sqft_lot,Sqft_liv,High_school_rating,Middle_school_rating,Elementary_School_Rating,Heating,Cooling,Fireplace,View
495000,4.0,2.0,339,Single Family Home,1971,98106,Seattle,6534.0,1460.0,3,6,2," Forced air heat,Natural gas heat",,Fireplace(s): Yes,
495000,4.0,2.0,339,Single Family Home,1971,98106,Seattle,6534.0,1460.0,3,6,2," Forced air heat,Natural gas heat",,Fireplace(s): Yes,
925000,4.0,2.5,361,Single Family Home,1980,98052,Redmond,7405.0,2560.0,10,6,9," Forced air heat,Natural gas heat", Ceiling fan(s),Fireplace(s): Yes,
750000,3.0,3.25,407,Single Family Home,2017,98106,Seattle,1307.0,1845.0,3,6,2," Electric heat,Heat pump", Central A/C,Fireplace(s): Yes,
761690,4.0,,234,single_family,,98038,Maple Valley,,3262.0,9,NR,7,,,Fireplaces,
214999,3.0,,98,single_family,,98045,North Bend,,2198.0,9,6,5,,,,
3100000,5.0,4.5,671,Single Family Home,2018,98004,Bellevue,9583.0,4620.0,8,6,7," Electric heat,Forced air heat,Natural gas heat",,,
1699000,4.0,2.5,501,Single Family Home,1961,98040,Mercer Island,0.29,3390.0,10,8,9," Forced air heat,Natural gas heat",,,View: Yes
1795000,4.0,3.5,535,Single Family Home,2016,98107,Seattle,3920.0,3356.0,9,8,8," Electric heat,Forced air heat", Central A/C,Fireplace(s): Yes,
1283990,5.0,,417,single_family,,98029,Issaquah,,3080.0,8,7,6,,,,
267000,3.0,2.0,241,Condo/Townhome/Row Home/Co-Op,1993,98055,Renton,,1107.0,5,5,4," Baseboard heater(s),Electric heat,Wood heat",,Fireplace(s): Yes,
350000,1.0,1.0,766,Condo/Townhome/Row Home/Co-Op,1911,98121,Seattle,,457.0,7,NR,2," Baseboard heater(s),Electric heat",,,
399000,3.0,2.0,302,Condo/Townhome/Row Home/Co-Op,1979,98133,Shoreline,,1323.0,5,7,7," Electric heat,Forced air heat,Natural gas heat",,Fireplace(s): Yes,
685000,3.0,3.0,272,Single Family Home,1991,98070,Vashon,0.6,2520.0,9,NR,NR," Forced Air,Wall",,Fireplace(s): Yes,View: Yes
369900,3.0,1.0,313,Single Family Home,1960,98198,Seatac,9583.0,1180.0,3,3,3," Electric heat,Forced air heat",,Fireplace(s): Yes,
689990,3.0,3.25,496,Single Family Home,2007,98103,Seattle,1307.0,1390.0,5,NR,3," Electric heat,Natural gas heat",,Fireplace(s): Yes,
1845000,4.0,3.25,472,Single Family Home,2018,98105,Seattle,6534.0,3907.0,10,8,4," Electric heat,Heat pump", Central A/C,,
177999,1.0,1.0,222,Condo/Townhome/Row Home/Co-Op,1998,98057,Renton,,800.0,3,3,3, Wall,,,
820000,3.0,3.25,374,Condo/Townhome/Row Home/Co-Op,1999,98034,Kirkland,,2190.0,8,7,7," Electric heat,Forced air heat", Central A/C,Fireplace(s): Yes,
468000,2.0,1.5,468,Condo/Townhome/Row Home/Co-Op,1962,98119,Seattle,,1000.0,9,7,9," Baseboard heater(s),Electric heat",,,
3395000,4.0,2.25,769,Single Family Home,2018,98040,Mercer Island,0.26,4417.0,10,8,9, Forced Air, Central A/C,,View: Yes
1099000,4.0,3.75,391,Single Family Home,2018,98027,Issaquah,4356.0,2808.0,8,7,6," Electric heat,Forced air heat,Natural gas heat",,,
320000,3.0,1.75,305,Single Family Home,1977,98042,Covington,5227.0,1050.0,5,4,3," Electric heat,Fireplace insert", Ceiling fan(s),Fireplace(s): Yes,
230000,2.0,2.0,240,Condo/Townhome/Row Home/Co-Op,1991,98030,Kent,,960.0,2,2,5," Electric heat,Forced air heat,Natural gas heat",,Fireplace(s): Yes,
645000,3.0,2.0,512,Single Family Home,2001,98118,Seattle,3920.0,1260.0,6,7,4," Electric heat,Forced air heat,Natural gas heat",,,
625000,3.0,1.5,401,Single Family Home,1965,98034,Kirkland,7405.0,1560.0,8,5,7," Forced air heat,Natural gas heat", Ceiling fan(s),Fireplace(s): Yes,
725000,3.0,1.75,338,Single Family Home,1957,98006,Bellevue,0.29,2148.0,9,7,7," Electric heat,Forced air heat,Oil heat",,,
599000,4.0,1.0,239,Single Family Home,1930,98177,Seattle,7405.0,2510.0,5,6,3," Forced air heat,Natural gas heat",,Fireplace(s): Yes,
945200,2.0,,844,1939,,98112,Seattle,4100.0,1120.0,7,7,8,,,Fireplace: Yes,
519500,1.0,1.0,734,Condo/Townhome/Row Home/Co-Op,2004,98121,Seattle,,708.0,7,NR,2," Electric heat,Radiant heat",,,
1370000,9.0,4.0,361,Single Family Home,1917,98105,Seattle,3920.0,3800.0,10,8,7," Electric heat,Forced air heat,Natural gas heat",,,
259950,3.0,1.0,193,Single Family Home,1946,98047,Pacific,6534.0,1346.0,7,1,5," Electric heat,Forced air heat,Natural gas heat",,,
1789000,4.0,2.5,639,Single Family Home,1951,98040,Mercer Island,5227.0,2800.0,10,8,9," Forced air heat,Natural gas heat", Central A/C,,View: Yes
525000,2.0,1.0,608,Condo/Townhome/Row Home/Co-Op,1968,98103,Seattle,,863.0,9,8,7, Electric heat,,,View: Yes
