,links
0,https://www.realtor.com/realestateandhomes-detail/1700-12th-Ave-S-Apt-107_Seattle_WA_98144_M25432-03655
1,https://www.realtor.com/realestateandhomes-detail/7902-Douglas-Ave-SE_Snoqualmie_WA_98065_M29263-42667
2,https://www.realtor.com/realestateandhomes-detail/338-NE-52nd-St_Seattle_WA_98105_M29771-17957
3,https://www.realtor.com/realestateandhomes-detail/Building-Twenty-Two-Floorplan-Q1_Upton-at-Crossroads-Village_1495-158th-PL-NE_Bellevue_WA_98008_P412259842226
4,https://www.realtor.com/realestateandhomes-detail/Building-Five-Floorplan-L2_Upton-at-Crossroads-Village_1495-158th-PL-NE_Bellevue_WA_98008_P412560310831
5,https://www.realtor.com/realestateandhomes-detail/2814-42nd-Ave-W_Seattle_WA_98199_M17268-91443
6,https://www.realtor.com/realestateandhomes-detail/1559-8th-St-NE-A_Auburn_WA_98002_M28642-08203
7,https://www.realtor.com/realestateandhomes-detail/16834-SE-43rd-St_Bellevue_WA_98006_M21414-18832
8,https://www.realtor.com/realestateandhomes-detail/Meridian_Bridges_29630-121st-Pl-SE_Auburn_WA_98092_P413442500255
9,https://www.realtor.com/realestateandhomes-detail/1806-138th-Pl-SE_Bellevue_WA_98005_M23314-68537
10,https://www.realtor.com/realestateandhomes-detail/507-W-Olympic-Pl-Apt-B_Seattle_WA_98119_M25550-87637
11,https://www.realtor.com/realestateandhomes-detail/8436-N-Mercer-Way_Mercer-Island_WA_98040_M18539-71792
12,https://www.realtor.com/realestateandhomes-detail/18548-NE-57th-St_Redmond_WA_98052_M24527-99596?ex=WA617351688
13,https://www.realtor.com/realestateandhomes-detail/4628-193rd-Ave-SE_Issaquah_WA_98027_M25002-31468
14,https://www.realtor.com/realestateandhomes-detail/14022-SE-281st-Pl_Kent_WA_98042_M14301-01961
15,https://www.realtor.com/realestateandhomes-detail/5953-California-Ave-SW-Apt-1A_Seattle_WA_98136_M28321-66372
16,https://www.realtor.com/realestateandhomes-detail/19954-SE-416th-St_Enumclaw_WA_98022_M28912-20143
17,https://www.realtor.com/realestateandhomes-detail/27530-254th-Way-SE_Maple-Valley_WA_98038_M25429-80916
18,https://www.realtor.com/realestateandhomes-detail/833-SW-Sunset-Blvd-33_Renton_WA_98057_M17246-96235
19,https://www.realtor.com/realestateandhomes-detail/10351-SE-8th-St_Bellevue_WA_98004_M11321-75975
20,https://www.realtor.com/realestateandhomes-detail/3812-S-243rd-St_Kent_WA_98032_M20540-42488
21,https://www.realtor.com/realestateandhomes-detail/5137-Kenilworth-Pl-NE_Seattle_WA_98105_M21212-63950
22,https://www.realtor.com/realestateandhomes-detail/5415-S-331st-St_Auburn_WA_98001_M29531-62590
23,https://www.realtor.com/realestateandhomes-detail/Jefferson-5430_Vinterra_15025-124th-Ave-NE_Woodinville_WA_98072_P411961348447
24,https://www.realtor.com/realestateandhomes-detail/4218-SW-338th-St_Federal-Way_WA_98023_M28745-21668
25,https://www.realtor.com/realestateandhomes-detail/24729-12th-Ave-S_Des-Moines_WA_98198_M16337-16773
26,https://www.realtor.com/realestateandhomes-detail/5517-S-Holly-St_Seattle_WA_98118_M27264-47815
27,https://www.realtor.com/realestateandhomes-detail/10014-SE-192nd-Pl_Renton_WA_98055_M11759-03965
28,https://www.realtor.com/realestateandhomes-detail/12209-21st-Ave-S_Seattle_WA_98168_M24477-68022
29,https://www.realtor.com/realestateandhomes-detail/16813-19th-Ave-SW_Normandy-Park_WA_98166_M15403-87293
30,https://www.realtor.com/realestateandhomes-detail/1920-4th-Ave-Unit-1511_Seattle_WA_98101_M26517-77841
31,https://www.realtor.com/realestateandhomes-detail/18104-E-Spring-Lake-Dr-SE_Renton_WA_98058_M27286-98996
32,https://www.realtor.com/realestateandhomes-detail/2720-3rd-Ave-Apt-703_Seattle_WA_98121_M23478-29845
33,https://www.realtor.com/realestateandhomes-detail/34596-56th-Ct-S_Auburn_WA_98001_M29423-62863
34,https://www.realtor.com/realestateandhomes-detail/18548-NE-57th-St_Redmond_WA_98052_M24527-99596?ex=WA617086444
35,https://www.realtor.com/realestateandhomes-detail/608-140th-Ave-NE_Bellevue_WA_98005_M27712-69114
36,https://www.realtor.com/realestateandhomes-detail/10109-NE-155th-St_Bothell_WA_98011_M20818-80330
37,https://www.realtor.com/realestateandhomes-detail/7119-Aurora-Ave-N_Seattle_WA_98103_M12087-96679
38,https://www.realtor.com/realestateandhomes-detail/813-Kirkland-Ave-NE_Renton_WA_98056_M12854-72838
